trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1994,False,"{'a': 0.002, 'e': 0.018536750572166152}",20,8,21.85432022371551,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1995,False,"{'a': 0.002, 'e': 0.01849971411981965}",20,3,27.718871116048348,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1996,False,"{'a': 0.002, 'e': 0.018462751666354294}",25,5,11.17335789212818,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
1997,False,"{'a': 0.002, 'e': 0.01842586306392022}",25,10,29.937545044709697,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1998,False,"{'a': 0.002, 'e': 0.01838904816496297}",25,15,22.023550618881437,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1999,False,"{'a': 0.002, 'e': 0.018352306822222896}",20,16,8.528084141715276,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2000,False,"{'a': 0.002, 'e': 0.01831563888873458}",20,14,11.481616405306994,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2001,False,"{'a': 0.002, 'e': 0.018279044217826244}",25,13,23.879367453117933,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2002,False,"{'a': 0.002, 'e': 0.01824252266311915}",25,15,19.17465650905916,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2003,False,"{'a': 0.002, 'e': 0.01820607407852703}",20,13,14.635827926140847,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2004,False,"{'a': 0.002, 'e': 0.018169698318255503}",25,13,25.28364792673084,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2005,False,"{'a': 0.002, 'e': 0.018133395236801474}",25,13,22.327309685549043,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2006,False,"{'a': 0.002, 'e': 0.018097164688952568}",25,17,13.79699480705155,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2007,False,"{'a': 0.002, 'e': 0.01806100652978655}",20,9,21.025095164189743,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2008,False,"{'a': 0.002, 'e': 0.01802492061467073}",20,10,18.913623251060034,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2009,False,"{'a': 0.002, 'e': 0.017988906799261403}",20,12,14.828961118514483,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2010,False,"{'a': 0.002, 'e': 0.017952964939503258}",20,3,32.61905790164656,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2011,False,"{'a': 0.002, 'e': 0.017917094891628807}",25,20,8.617372584015376,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2012,False,"{'a': 0.002, 'e': 0.017881296512157814}",25,20,11.59625885652304,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2013,False,"{'a': 0.002, 'e': 0.01784556965789671}",20,11,9.070131236829539,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
2014,False,"{'a': 0.002, 'e': 0.017809914185938032}",25,9,25.20286461990903,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2015,False,"{'a': 0.002, 'e': 0.017774329953659844}",20,12,15.565171343964378,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2016,False,"{'a': 0.002, 'e': 0.01773881681872517}",30,7,44.272442487994844,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
2017,False,"{'a': 0.002, 'e': 0.01770337463908142}",20,10,15.825968165029996,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2018,False,"{'a': 0.002, 'e': 0.017668003272959833}",30,10,33.222863011930976,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2019,False,"{'a': 0.002, 'e': 0.017632702578874896}",20,16,5.876436526007261,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2020,False,"{'a': 0.002, 'e': 0.017597472415623785}",25,10,26.078092117804175,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2021,False,"{'a': 0.002, 'e': 0.017562312642285798}",25,6,34.69358144914143,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2022,False,"{'a': 0.002, 'e': 0.0175272231182218}",20,12,12.917163266142314,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2023,False,"{'a': 0.002, 'e': 0.017492203703073642}",20,2,31.960121905225314,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2024,False,"{'a': 0.002, 'e': 0.01745725425676362}",25,16,16.675763082714717,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2025,False,"{'a': 0.002, 'e': 0.0174223746394939}",20,16,7.8510896976192015,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2026,False,"{'a': 0.002, 'e': 0.01738756471174597}",25,20,8.970341454514902,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2027,False,"{'a': 0.002, 'e': 0.017352824334280068}",20,13,12.639832203816331,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2028,False,"{'a': 0.002, 'e': 0.01731815336813464}",20,8,20.768540014947213,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2029,False,"{'a': 0.002, 'e': 0.017283551674625777}",20,9,19.106539236958536,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2030,False,"{'a': 0.002, 'e': 0.017249019115346657}",20,13,11.319835463010426,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2031,False,"{'a': 0.002, 'e': 0.017214555552166996}",25,20,8.192455615937869,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2032,False,"{'a': 0.002, 'e': 0.017180160847232496}",20,13,13.218997578315273,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2033,False,"{'a': 0.002, 'e': 0.017145834862964292}",20,10,15.46009135416263,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2034,False,"{'a': 0.002, 'e': 0.0171115774620584}",35,24,22.602124855691333,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2035,False,"{'a': 0.002, 'e': 0.017077388507485174}",25,8,-10.677048393438836,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
2036,False,"{'a': 0.002, 'e': 0.017043267862488748}",20,0,37.22821667636849,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2037,False,"{'a': 0.002, 'e': 0.017009215390586495}",25,7,16.25731072943053,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
2038,False,"{'a': 0.002, 'e': 0.016975230955568483}",25,14,19.699543839730847,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2039,False,"{'a': 0.002, 'e': 0.016941314421496927}",30,20,17.564142150923594,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2040,False,"{'a': 0.002, 'e': 0.016907465652705646}",30,11,28.69552870862396,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
2041,False,"{'a': 0.002, 'e': 0.01687368451379952}",20,13,16.831302456154727,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2042,False,"{'a': 0.002, 'e': 0.01683997086965395}",30,14,26.182944993866418,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2043,False,"{'a': 0.002, 'e': 0.016806324585414308}",20,8,25.50220370785472,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2044,False,"{'a': 0.002, 'e': 0.01677274552649542}",25,14,20.71948056538786,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2045,False,"{'a': 0.002, 'e': 0.016739233558580997}",30,12,29.833006263755074,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2046,False,"{'a': 0.002, 'e': 0.01670578854762313}",25,19,14.09761342986279,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2047,False,"{'a': 0.002, 'e': 0.016672410359841728}",35,16,35.91865476957253,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2048,False,"{'a': 0.002, 'e': 0.016639098861723996}",30,18,17.810208972093253,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
2049,False,"{'a': 0.002, 'e': 0.016605853920023894}",25,20,9.824124829571817,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2050,False,"{'a': 0.002, 'e': 0.016572675401761616}",20,16,8.327320001145345,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2051,False,"{'a': 0.002, 'e': 0.01653956317422304}",30,13,34.45552749410795,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2052,False,"{'a': 0.002, 'e': 0.016506517104959213}",35,13,41.63081176708368,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2053,False,"{'a': 0.002, 'e': 0.016473537061785816}",25,14,19.1879411584136,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2054,False,"{'a': 0.002, 'e': 0.01644062291278263}",25,10,13.830062385799819,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
2055,False,"{'a': 0.002, 'e': 0.016407774526293016}",25,7,31.661931703785612,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2056,False,"{'a': 0.002, 'e': 0.016374991770923383}",25,15,20.231385890137915,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2057,False,"{'a': 0.002, 'e': 0.016342274515542668}",20,9,15.447375608102512,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2058,False,"{'a': 0.002, 'e': 0.016309622629281807}",20,14,11.651911736050685,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2059,False,"{'a': 0.002, 'e': 0.016277035981533208}",25,18,10.041613167594244,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2060,False,"{'a': 0.002, 'e': 0.01624451444195024}",20,12,18.159310252448567,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2061,False,"{'a': 0.002, 'e': 0.016212057880446693}",25,14,18.02257975908747,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2062,False,"{'a': 0.002, 'e': 0.016179666167196287}",20,13,12.480009666727007,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2063,False,"{'a': 0.002, 'e': 0.016147339172632124}",25,17,14.365509282472464,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2064,False,"{'a': 0.002, 'e': 0.01611507676744618}",20,11,3.877229898604984,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
2065,False,"{'a': 0.002, 'e': 0.01608287882258879}",20,9,18.891885893446563,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2066,False,"{'a': 0.002, 'e': 0.01605074520926814}",25,15,19.04932270677351,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2067,False,"{'a': 0.002, 'e': 0.016018675798949725}",20,16,6.511800216324522,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2068,False,"{'a': 0.002, 'e': 0.015986670463355866}",25,19,10.307719193539722,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2069,False,"{'a': 0.002, 'e': 0.015954729074465174}",25,14,19.61271131161914,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2070,False,"{'a': 0.002, 'e': 0.015922851504512052}",25,12,21.658624038118667,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2071,False,"{'a': 0.002, 'e': 0.01589103762598618}",30,11,35.845623318922996,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2072,False,"{'a': 0.002, 'e': 0.015859287311631998}",30,19,23.256265522421586,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2073,False,"{'a': 0.002, 'e': 0.01582760043444821}",25,9,19.494046787254863,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
2074,False,"{'a': 0.002, 'e': 0.015795976867687262}",25,13,22.282988538779456,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2075,False,"{'a': 0.002, 'e': 0.015764416484854847}",25,11,25.645873946003377,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2076,False,"{'a': 0.002, 'e': 0.01573291915970939}",20,12,14.0377656404771,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2077,False,"{'a': 0.002, 'e': 0.01570148476626155}",25,18,13.60896534657697,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2078,False,"{'a': 0.002, 'e': 0.01567011317877371}",25,15,17.18095333281723,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2079,False,"{'a': 0.002, 'e': 0.01563880427175948}",20,13,6.024890208485052,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
2080,False,"{'a': 0.002, 'e': 0.015607557919983186}",20,14,10.212577499921178,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2081,False,"{'a': 0.002, 'e': 0.015576373998459384}",20,0,28.066412661088066,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2082,False,"{'a': 0.002, 'e': 0.015545252382452343}",20,9,20.554894103225887,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2083,False,"{'a': 0.002, 'e': 0.01551419294747556}",25,7,18.234452837589437,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
2084,False,"{'a': 0.002, 'e': 0.015483195569291251}",25,17,17.43262127228698,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2085,False,"{'a': 0.002, 'e': 0.015452260123909864}",20,9,16.869085517632026,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2086,False,"{'a': 0.002, 'e': 0.015421386487589577}",30,0,49.68926186573052,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
2087,False,"{'a': 0.002, 'e': 0.0153905745368358}",25,18,14.105960613027689,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2088,False,"{'a': 0.002, 'e': 0.015359824148400692}",30,16,25.0815814380327,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2089,False,"{'a': 0.002, 'e': 0.015329135199282659}",20,8,23.63364409639073,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2090,False,"{'a': 0.002, 'e': 0.01529850756672586}",30,19,24.336783103446503,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2091,False,"{'a': 0.002, 'e': 0.015267941128219727}",20,6,22.74832710883149,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2092,False,"{'a': 0.002, 'e': 0.015237435761498464}",25,15,21.36898482896192,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2093,False,"{'a': 0.002, 'e': 0.015206991344540564}",35,21,26.61189142217417,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2094,False,"{'a': 0.002, 'e': 0.015176607755568318}",20,8,20.552236422212705,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2095,False,"{'a': 0.002, 'e': 0.01514628487304733}",25,17,15.59681830628418,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
